Date,Price,Open,High,Low,Volume
2017-01-01,0.0000,0.0000,0.0000,0.0000,0.0000
2017-01-02,0.0056,0.0001,0.0095,0.0045,0.0234
2017-01-03,0.0119,0.0105,0.0201,0.0149,0.0411
2017-01-04,0.0121,0.0223,0.0234,0.0243,0.0261
2017-01-05,0.0098,0.0228,0.0204,0.0212,0.0085
2017-01-06,0.0089,0.0184,0.0168,0.0187,0.0133
2017-01-07,0.0140,0.0167,0.0223,0.0225,0.0261
2017-01-08,0.0196,0.0264,0.0332,0.0316,0.0424
2017-01-09,0.0186,0.0368,0.0341,0.0400,0.0274
2017-01-10,0.0206,0.0349,0.0363,0.0398,0.0223
2017-01-11,0.0232,0.0387,0.0389,0.0443,0.0348
2017-01-12,0.0193,0.0434,0.0372,0.0410,0.0236
2017-01-13,0.0213,0.0363,0.0359,0.0415,0.0110
2017-01-14,0.0242,0.0402,0.0411,0.0451,0.0349
2017-01-15,0.0267,0.0455,0.0448,0.0513,0.0414
2017-01-16,0.0287,0.0499,0.0491,0.0558,0.0585
2017-01-17,0.0256,0.0538,0.0473,0.0523,0.0315
2017-01-18,0.0222,0.0481,0.0412,0.0449,0.0189
2017-01-19,0.0196,0.0415,0.0352,0.0401,0.0087
2017-01-20,0.0246,0.0368,0.0392,0.0416,0.0224
2017-01-21,0.0297,0.0463,0.0502,0.0517,0.0348
2017-01-22,0.0283,0.0556,0.0512,0.0585,0.0206
2017-01-23,0.0313,0.0531,0.0532,0.0585,0.0348
2017-01-24,0.0348,0.0588,0.0591,0.0646,0.0464
2017-01-25,0.0326,0.0651,0.0574,0.0651,0.0310
2017-01-26,0.0359,0.0612,0.0599,0.0668,0.0417
2017-01-27,0.0380,0.0673,0.0650,0.0731,0.0543
2017-01-28,0.0355,0.0714,0.0640,0.0719,0.0348
2017-01-29,0.0387,0.0666,0.0659,0.0723,0.0464
2017-01-30,0.0409,0.0726,0.0695,0.0784,0.0585
2017-01-31,0.0388,0.0766,0.0679,0.0765,0.0424
2017-02-01,0.0362,0.0726,0.0635,0.0719,0.0315
2017-02-02,0.0336,0.0674,0.0591,0.0668,0.0189
2017-02-03,0.0377,0.0630,0.0618,0.0689,0.0337
2017-02-04,0.0409,0.0702,0.0679,0.0765,0.0464
2017-02-05,0.0397,0.0766,0.0693,0.0802,0.0315
2017-02-06,0.0378,0.0743,0.0650,0.0734,0.0189
2017-02-07,0.0419,0.0707,0.0708,0.0765,0.0348
2017-02-08,0.0460,0.0777,0.0784,0.0850,0.0543
2017-02-09,0.0495,0.0842,0.0844,0.0922,0.0679
2017-02-10,0.0464,0.0928,0.0827,0.0922,0.0414
2017-02-11,0.0434,0.0872,0.0768,0.0850,0.0315
2017-02-12,0.0392,0.0810,0.0723,0.0784,0.0189
2017-02-13,0.0353,0.0735,0.0650,0.0719,0.0085
2017-02-14,0.0392,0.0661,0.0650,0.0719,0.0234
2017-02-15,0.0434,0.0735,0.0740,0.0802,0.0349
2017-02-16,0.0468,0.0810,0.0799,0.0873,0.0464
2017-02-17,0.0495,0.0876,0.0844,0.0941,0.0543
2017-02-18,0.0478,0.0928,0.0827,0.0941,0.0337
2017-02-19,0.0516,0.0896,0.0874,0.0941,0.0464
2017-02-20,0.0547,0.0966,0.0933,0.1034,0.0586
2017-02-21,0.0585,0.1025,0.1007,0.1085,0.0652
2017-02-22,0.0570,0.1096,0.1022,0.1133,0.0537
2017-02-23,0.0607,0.1071,0.1041,0.1133,0.0586
2017-02-24,0.0582,0.1140,0.1022,0.1133,0.0424
2017-02-25,0.0547,0.1096,0.0963,0.1058,0.0315
2017-02-26,0.0496,0.1025,0.0894,0.0941,0.0189
2017-02-27,0.0535,0.0928,0.0894,0.0941,0.0316
2017-02-28,0.0571,0.1006,0.0963,0.1009,0.0441
2017-03-01,0.0599,0.1071,0.1022,0.1085,0.0543
2017-03-02,0.0626,0.1140,0.1077,0.1182,0.0679
2017-03-03,0.0575,0.1177,0.1041,0.1133,0.0537
2017-03-04,0.0534,0.1080,0.0963,0.1058,0.0412
2017-03-05,0.0573,0.1001,0.0963,0.1058,0.0537
2017-03-06,0.0612,0.1080,0.1042,0.1133,0.0586
2017-03-07,0.0633,0.1152,0.1095,0.1182,0.0662
2017-03-08,0.0671,0.1190,0.1156,0.1231,0.0750
2017-03-09,0.0641,0.1259,0.1112,0.1231,0.0620
2017-03-10,0.0607,0.1206,0.1071,0.1182,0.0538
2017-03-11,0.0570,0.1140,0.1007,0.1107,0.0424
2017-03-12,0.0520,0.1071,0.0929,0.1058,0.0315
2017-03-13,0.0483,0.0991,0.0871,0.0992,0.0189
2017-03-14,0.0530,0.0908,0.0895,0.0941,0.0349
2017-03-15,0.0571,0.1001,0.0996,0.1058,0.0464
2017-03-16,0.0547,0.1071,0.0963,0.1058,0.0414
2017-03-17,0.0510,0.1025,0.0903,0.1009,0.0361
2017-03-18,0.0530,0.0966,0.0895,0.1009,0.0414
2017-03-19,0.0571,0.1001,0.0963,0.1058,0.0537
2017-03-20,0.0607,0.1080,0.1042,0.1133,0.0662
2017-03-21,0.0582,0.1140,0.1022,0.1133,0.0548
2017-03-22,0.0547,0.1096,0.0963,0.1058,0.0435
2017-03-23,0.0586,0.1025,0.1007,0.1058,0.0537
2017-03-24,0.0626,0.1096,0.1077,0.1133,0.0662
2017-03-25,0.0671,0.1177,0.1156,0.1206,0.0762
2017-03-26,0.0712,0.1259,0.1226,0.1279,0.0873
2017-03-27,0.0684,0.1323,0.1191,0.1303,0.0684
2017-03-28,0.0722,0.1275,0.1226,0.1327,0.0783
2017-03-29,0.0759,0.1341,0.1284,0.1400,0.0883
2017-03-30,0.0794,0.1405,0.1343,0.1473,0.0983
2017-03-31,0.0771,0.1457,0.1329,0.1497,0.0875
