Date,Price,Open,High,Low,Volume
2017-01-01,963.78,963.66,978.54,945.35,382546230.45
2017-01-02,995.44,963.78,1010.23,958.88,587324156.78
2017-01-03,1031.25,995.44,1045.67,990.12,743256891.34
2017-01-04,1032.67,1031.25,1056.89,1018.45,612548753.23
2017-01-05,1019.56,1032.67,1046.78,1008.91,456912378.92
2017-01-06,1014.23,1019.56,1034.56,1001.45,498752364.12
2017-01-07,1043.67,1014.23,1053.24,1012.87,612458734.56
2017-01-08,1075.34,1043.67,1089.45,1040.23,754896231.45
2017-01-09,1069.89,1075.34,1092.45,1065.23,623589741.23
2017-01-10,1081.24,1069.89,1099.67,1064.56,578425631.78
2017-01-11,1095.56,1081.24,1108.45,1078.23,687542361.23
2017-01-12,1073.89,1095.56,1102.34,1068.45,589632147.89
2017-01-13,1085.56,1073.89,1098.45,1070.23,478569321.45
2017-01-14,1101.78,1085.56,1115.67,1080.45,689574123.56
2017-01-15,1115.34,1101.78,1128.45,1098.67,745896312.34
2017-01-16,1126.78,1115.34,1142.56,1112.34,896523741.23
2017-01-17,1109.67,1126.78,1136.45,1102.34,658974123.56
2017-01-18,1089.34,1109.67,1115.67,1080.23,547896312.45
2017-01-19,1075.56,1089.34,1095.67,1065.45,458796312.34
2017-01-20,1103.67,1075.56,1109.45,1070.23,578963214.56
2017-01-21,1132.45,1103.67,1145.67,1100.23,687452361.23
2017-01-22,1124.56,1132.45,1149.67,1120.34,563247891.34
2017-01-23,1142.34,1124.56,1156.45,1120.23,687541923.45
2017-01-24,1161.78,1142.34,1175.67,1138.45,789654123.78
2017-01-25,1149.56,1161.78,1170.23,1140.34,654789321.45
2017-01-26,1168.23,1149.56,1178.45,1145.67,748596321.45
2017-01-27,1180.45,1168.23,1195.67,1165.34,859674123.56
2017-01-28,1165.67,1180.45,1192.34,1160.23,687452361.23
2017-01-29,1184.23,1165.67,1198.45,1162.34,789654123.45
2017-01-30,1196.78,1184.23,1210.56,1180.45,896574123.56
2017-01-31,1184.56,1196.78,1205.67,1175.34,754896321.45
2017-02-01,1169.34,1184.56,1190.23,1160.45,658974123.56
2017-02-02,1154.67,1169.34,1175.67,1145.34,547896312.45
2017-02-03,1178.23,1154.67,1185.45,1150.23,678945231.45
2017-02-04,1196.45,1178.23,1205.67,1175.34,789654123.78
2017-02-05,1189.67,1196.45,1210.23,1185.34,658974312.34
2017-02-06,1178.34,1189.67,1195.67,1170.23,547896321.45
2017-02-07,1201.56,1178.34,1215.67,1175.34,687452361.23
2017-02-08,1225.34,1201.56,1240.23,1198.45,859674123.56
2017-02-09,1245.67,1225.34,1260.45,1220.23,978564123.78
2017-02-10,1228.34,1245.67,1255.67,1220.34,745896231.45
2017-02-11,1210.56,1228.34,1235.67,1200.23,658974123.56
2017-02-12,1187.45,1210.56,1220.34,1180.23,547896312.45
2017-02-13,1164.56,1187.45,1195.67,1160.23,456789312.34
2017-02-14,1187.23,1164.56,1195.45,1160.34,587496312.45
2017-02-15,1210.45,1187.23,1225.67,1185.34,689574123.56
2017-02-16,1230.67,1210.45,1245.67,1205.34,789654123.78
2017-02-17,1245.34,1230.67,1260.23,1225.45,859674123.56
2017-02-18,1235.67,1245.34,1255.45,1230.23,678945231.45
2017-02-19,1258.34,1235.67,1270.23,1230.45,789654231.45
2017-02-20,1275.67,1258.34,1290.45,1255.34,897564231.78
2017-02-21,1298.34,1275.67,1315.67,1270.23,954782361.23
2017-02-22,1289.56,1298.34,1320.45,1285.34,854796231.45
2017-02-23,1310.45,1289.56,1325.67,1285.23,896574123.56
2017-02-24,1295.67,1310.45,1320.34,1290.23,754896231.45
2017-02-25,1275.34,1295.67,1300.23,1270.45,658974123.56
2017-02-26,1245.67,1275.34,1280.45,1240.23,547896312.45
2017-02-27,1268.45,1245.67,1275.67,1240.34,659874123.56
2017-02-28,1289.67,1268.45,1300.23,1265.34,769854123.45
2017-03-01,1305.34,1289.67,1320.45,1285.34,859674123.56
2017-03-02,1320.67,1305.34,1340.23,1300.45,978564123.78
2017-03-03,1290.45,1320.67,1325.67,1285.34,854796231.45
2017-03-04,1267.34,1290.45,1295.67,1260.23,743589621.45
2017-03-05,1290.67,1267.34,1305.45,1265.34,854796231.45
2017-03-06,1312.45,1290.67,1330.23,1285.34,896574123.56
2017-03-07,1324.56,1312.45,1345.67,1310.23,965478231.78
2017-03-08,1345.78,1324.56,1365.45,1320.34,1045896723.45
2017-03-09,1328.56,1345.78,1350.23,1320.45,925478631.23
2017-03-10,1310.45,1328.56,1335.67,1305.34,856974231.45
2017-03-11,1288.67,1310.45,1315.45,1280.23,754896321.45
2017-03-12,1260.45,1288.67,1295.67,1255.34,658974123.56
2017-03-13,1238.67,1260.45,1270.23,1230.45,547896312.45
2017-03-14,1265.78,1238.67,1280.45,1235.34,689574123.56
2017-03-15,1289.45,1265.78,1310.23,1260.34,789654123.78
2017-03-16,1275.67,1289.45,1300.45,1270.23,745896231.45
2017-03-17,1254.34,1275.67,1280.23,1250.45,698745231.45
2017-03-18,1265.67,1254.34,1280.45,1250.23,745896231.45
2017-03-19,1289.45,1265.67,1300.23,1260.34,854796231.45
2017-03-20,1310.67,1289.45,1330.45,1285.34,965478231.78
2017-03-21,1295.34,1310.67,1325.67,1290.23,865479231.45
2017-03-22,1275.67,1295.34,1305.45,1270.23,765489231.45
2017-03-23,1298.45,1275.67,1315.67,1270.34,854796231.45
2017-03-24,1320.67,1298.45,1340.23,1295.34,965478231.78
2017-03-25,1345.78,1320.67,1365.45,1315.34,1056478923.45
2017-03-26,1368.45,1345.78,1390.23,1340.34,1156478923.78
2017-03-27,1352.67,1368.45,1375.45,1345.23,985647821.45
2017-03-28,1374.56,1352.67,1390.23,1350.34,1075846923.45
2017-03-29,1395.78,1374.56,1415.67,1370.34,1165478923.78
2017-03-30,1415.45,1395.78,1440.23,1390.34,1256478923.89
2017-03-31,1402.67,1415.45,1435.67,1395.34,1158647892.34
