Date,Price,Open,High,Low,Volume
2023-01-01,16547.5,16539.2,16602.4,16484.8,12450678.32
2023-01-02,16642.8,16547.5,16702.1,16521.3,15632541.76
2023-01-03,16693.2,16642.8,16758.9,16588.4,17845632.21
2023-01-04,16821.5,16693.2,16924.7,16662.9,22156325.45
2023-01-05,16785.3,16821.5,16912.6,16712.4,19854623.87
2023-01-06,16950.7,16785.3,17018.2,16742.6,23561478.92
2023-01-07,16932.4,16950.7,17085.3,16845.2,18752369.43
2023-01-08,17156.8,16932.4,17245.6,16889.5,25631478.65
2023-01-09,17089.2,17156.8,17201.8,16989.7,21456325.78
2023-01-10,17421.5,17089.2,17502.4,17056.8,35214568.92
2023-01-11,17496.8,17421.5,17598.6,17323.4,28965412.31
2023-01-12,17512.3,17496.8,17645.2,17389.6,22154789.65
2023-01-13,17856.9,17512.3,17924.7,17485.3,32654987.15
2023-01-14,18245.7,17856.9,18356.2,17795.8,42365148.75
2023-01-15,18152.3,18245.7,18452.1,18012.5,36542197.82
2023-01-16,18523.6,18152.3,18672.4,18089.7,41236547.98
2023-01-17,18498.2,18523.6,18745.9,18312.6,36521478.45
2023-01-18,18785.4,18498.2,18952.7,18432.5,45621478.36
2023-01-19,18912.7,18785.4,19025.8,18689.3,52361478.25
2023-01-20,19254.8,18912.7,19365.2,18823.6,58962145.63
2023-01-21,19189.5,19254.8,19452.3,19078.4,45621478.36
2023-01-22,19512.4,19189.5,19645.8,19156.2,56214785.63
2023-01-23,19845.3,19512.4,19952.7,19478.2,62145873.24
2023-01-24,20147.2,19845.3,20256.8,19756.3,72365412.35
2023-01-25,20085.6,20147.2,20356.4,19912.5,63254178.92
2023-01-26,20354.8,20085.6,20547.3,20012.4,68542139.87
2023-01-27,20512.3,20354.8,20654.7,20198.5,75421365.82
2023-01-28,20498.7,20512.3,20745.9,20321.6,65421387.45
2023-01-29,20789.5,20498.7,20954.3,20412.8,82145632.14
2023-01-30,21024.7,20789.5,21158.9,20654.2,92365471.28
