Date,Price,Open,High,Low,Volume
2017-01-01,8.26,8.22,8.40,8.15,179845236.78
2017-01-02,8.52,8.26,8.65,8.20,205478963.12
2017-01-03,8.87,8.52,9.05,8.45,256478963.45
2017-01-04,9.21,8.87,9.38,8.82,278945632.56
2017-01-05,9.56,9.21,9.78,9.15,306547892.34
2017-01-06,9.82,9.56,10.05,9.48,325647893.45
2017-01-07,10.15,9.82,10.45,9.75,358964712.56
2017-01-08,10.42,10.15,10.68,10.08,389654723.45
2017-01-09,10.78,10.42,11.05,10.35,412365478.96
2017-01-10,10.56,10.78,10.95,10.45,356478923.45
2017-01-11,10.24,10.56,10.75,10.18,298654789.23
2017-01-12,10.58,10.24,10.85,10.20,325647893.45
2017-01-13,10.82,10.58,11.05,10.52,356478912.34
2017-01-14,11.15,10.82,11.48,10.75,389654723.45
2017-01-15,11.42,11.15,11.68,11.05,415647892.34
2017-01-16,11.78,11.42,12.05,11.35,445678923.45
2017-01-17,12.08,11.78,12.38,11.72,489654723.45
2017-01-18,11.85,12.08,12.25,11.75,425647892.34
2017-01-19,12.24,11.85,12.55,11.78,458962347.56
2017-01-20,12.56,12.24,12.85,12.18,489654723.45
2017-01-21,12.94,12.56,13.18,12.48,512365478.96
2017-01-22,13.25,12.94,13.52,12.85,556478923.45
2017-01-23,13.58,13.25,13.88,13.15,589654723.45
2017-01-24,13.92,13.58,14.25,13.48,615647892.34
2017-01-25,14.25,13.92,14.58,13.82,645678912.34
2017-01-26,14.58,14.25,14.92,14.15,678945632.56
2017-01-27,14.92,14.58,15.28,14.45,712365478.96
2017-01-28,15.24,14.92,15.65,14.85,745678923.45
2017-01-29,15.64,15.24,16.05,15.15,789654723.45
2017-01-30,16.05,15.64,16.45,15.55,825647892.34
2017-01-31,16.42,16.05,16.85,15.95,856478912.34
2017-02-01,16.85,16.42,17.22,16.35,895647892.34
2017-02-02,17.24,16.85,17.65,16.75,945678923.45
2017-02-03,17.58,17.24,18.05,17.15,989654723.45
2017-02-04,17.92,17.58,18.35,17.45,1025647892.34
2017-02-05,18.24,17.92,18.68,17.85,1065478912.34
2017-02-06,18.64,18.24,19.08,18.15,1112365478.96
2017-02-07,19.05,18.64,19.45,18.55,1156478923.45
2017-02-08,19.42,19.05,19.85,18.98,1189654723.45
2017-02-09,19.86,19.42,20.25,19.35,1225647892.34
2017-02-10,20.28,19.86,20.68,19.78,1265478912.34
2017-02-11,20.75,20.28,21.18,20.15,1312365478.96
2017-02-12,21.18,20.75,21.62,20.65,1356478923.45
2017-02-13,21.54,21.18,22.05,21.08,1389654723.45
2017-02-14,21.92,21.54,22.38,21.45,1425647892.34
2017-02-15,22.35,21.92,22.78,21.85,1465478912.34
2017-02-16,22.78,22.35,23.25,22.28,1512365478.96
2017-02-17,23.15,22.78,23.65,22.68,1556478923.45
2017-02-18,23.52,23.15,24.05,23.08,1589654723.45
2017-02-19,23.94,23.52,24.42,23.48,1625647892.34
2017-02-20,24.36,23.94,24.85,23.85,1665478912.34
2017-02-21,24.78,24.36,25.28,24.25,1712365478.96
2017-02-22,25.24,24.78,25.75,24.68,1756478923.45
2017-02-23,25.68,25.24,26.15,25.15,1789654723.45
2017-02-24,26.15,25.68,26.68,25.58,1825647892.34
2017-02-25,26.58,26.15,27.15,26.08,1865478912.34
2017-02-26,27.05,26.58,27.58,26.52,1912365478.96
2017-02-27,27.48,27.05,28.05,26.98,1956478923.45
2017-02-28,27.95,27.48,28.48,27.42,1989654723.45
2017-03-01,28.32,27.95,28.92,27.85,2025647892.34
2017-03-02,28.75,28.32,29.35,28.28,2065478912.34
2017-03-03,29.18,28.75,29.85,28.68,2112365478.96
2017-03-04,29.64,29.18,30.25,29.08,2156478923.45
2017-03-05,30.12,29.64,30.75,29.58,2189654723.45
2017-03-06,30.58,30.12,31.18,30.08,2225647892.34
2017-03-07,31.05,30.58,31.68,30.52,2265478912.34
2017-03-08,31.54,31.05,32.15,30.98,2312365478.96
2017-03-09,32.08,31.54,32.68,31.48,2356478923.45
2017-03-10,32.56,32.08,33.15,31.98,2389654723.45
2017-03-11,33.05,32.56,33.68,32.48,2425647892.34
2017-03-12,33.58,33.05,34.22,32.98,2465478912.34
2017-03-13,34.12,33.58,34.78,33.52,2512365478.96
2017-03-14,34.68,34.12,35.35,34.08,2556478923.45
2017-03-15,35.24,34.68,35.95,34.62,2589654723.45
2017-03-16,35.82,35.24,36.48,35.18,2625647892.34
2017-03-17,36.35,35.82,37.08,35.75,2665478912.34
2017-03-18,36.94,36.35,37.65,36.28,2712365478.96
2017-03-19,37.52,36.94,38.18,36.85,2756478923.45
2017-03-20,38.15,37.52,38.85,37.45,2789654723.45
2017-03-21,38.78,38.15,39.45,38.08,2825647892.34
2017-03-22,39.36,38.78,40.05,38.72,2865478912.34
2017-03-23,39.95,39.36,40.68,39.32,2912365478.96
2017-03-24,40.58,39.95,41.28,39.88,2956478923.45
2017-03-25,41.15,40.58,41.88,40.52,2989654723.45
2017-03-26,41.75,41.15,42.48,41.08,3025647892.34
2017-03-27,42.38,41.75,43.05,41.68,3065478912.34
2017-03-28,42.96,42.38,43.65,42.35,3112365478.96
2017-03-29,43.58,42.96,44.28,42.92,3156478923.45
2017-03-30,44.25,43.58,44.95,43.52,3189654723.45
2017-03-31,44.88,44.25,45.62,44.18,3225647892.34
